state/ut,male-percentage,female-percentage,p-value
0,20.241548410288495,17.498691792902125,0.34043254599067596
1,35.78051405115936,28.995278478266762,0.5370344780696734
2,13.885859708266214,12.177475641708218,0.3063303266624071
3,19.8118032318804,17.58998274784867,0.5688119155843848
4,24.85796408588114,23.926518628353346,0.7332771460408697
5,16.99633284693582,14.07897999381229,0.2708329639366193
6,19.09201767148578,15.859122348087936,0.29384486732713133
7,33.94719408197722,30.86982244348683,0.5875413796864789
8,10.540008202864184,8.24111506832045,0.2682295505559336
9,11.258478734454876,8.942479034101423,0.234997909020441
10,15.503510924293174,13.37619385445521,0.30210891752615887
11,35.25954127588448,32.58494575784241,0.8832291962482017
12,33.86229675366151,33.68795861543859,0.8544321262487684
13,34.67587437259002,35.323681950992444,0.8005179409612367
14,28.086051164129223,25.949613606471317,0.5888705069586451
15,25.110788185234608,21.644979303039307,0.385356626625879
16,31.176028715689913,26.98843760714538,0.4020474167846608
17,18.791056901849537,18.104927470599442,0.44778849839447943
18,33.52135328693732,31.21273082056864,0.5182457697726548
19,14.939389789067823,11.585782275646203,0.2747666636542194
20,26.628293685025945,24.28366517271119,0.39186238937144946
21,21.244381046774354,18.27060985502321,0.414623320583158
22,12.276816727636282,10.904263373835567,0.3000512630204749
23,12.539962319779063,10.950205404886084,0.2975807440528455
24,31.368957609190613,25.71223892195612,0.45930261454851484
25,32.870040784825115,35.09887461536806,0.8474819496757098
26,35.58784062758051,39.02126723085849,0.7040644694946199
27,35.33379326799061,31.618782981971773,0.5790307281227037
28,19.691770533940485,16.33025999349623,0.3434644981280853
29,27.493410089439102,26.243053121548133,0.4939896784434925
30,25.98452255323755,26.80562409213169,0.7312864671011704
31,14.802403163964616,11.703349282296651,0.3795940920126417
32,15.966788649346508,13.899302529212715,0.33620305275112217
33,26.539198723780178,23.26741981982032,0.34606997945424256
34,28.207330154070704,23.267898565093272,0.3542347653731277
35,49.55464309832357,47.37212312194024,0.814565499898011
