state/ut,male-percentage,female-percentage,p-value
0,71.65011794931502,76.46426421106435,0.34043254599067596
1,45.26420709260613,56.81195599121451,0.5370344780696734
2,80.3563771567774,83.48259644801578,0.3063303266624071
3,50.24283332758404,56.11189913089054,0.5688119155843848
4,44.391497305666114,45.86583036182541,0.7332771460408697
5,80.87182909793796,84.33886987197585,0.2708329639366193
6,75.85987986128515,80.01374409533558,0.29384486732713133
7,57.8021538330756,61.22413425095329,0.5875413796864789
8,87.6517668407443,90.65604483256882,0.2682295505559336
9,87.26086903672274,89.96798876127744,0.234997909020441
10,82.60166608088775,85.31091975830817,0.30210891752615887
11,33.964775435664095,38.90270497761794,0.8832291962482017
12,32.98711886058786,39.15752857132193,0.8544321262487684
13,35.40236705447427,40.470491784373486,0.8005179409612367
14,47.15039629191442,55.66402391180405,0.5888705069586451
15,68.63825519187378,74.9866664698164,0.385356626625879
16,61.93405165238991,69.15313404918254,0.4020474167846608
17,70.4336681342135,74.15421912509143,0.44778849839447943
18,49.93925446453807,57.54532598399346,0.5182457697726548
19,81.23793942565821,85.9592559782642,0.2747666636542194
20,67.66620113092993,71.81120300334685,0.39186238937144946
21,62.9193495647963,71.2965876928913,0.414623320583158
22,85.81285828334137,87.70008864640812,0.3000512630204749
23,85.44439418311656,87.62232038535575,0.2975807440528455
24,52.17802653815694,62.57966925462492,0.45930261454851484
25,52.588472465253055,51.18778645665225,0.8474819496757098
26,41.57153179190751,42.79921840092298,0.7040644694946199
27,44.997805403617555,53.10492675057342,0.5790307281227037
28,71.26914364792016,77.71797095164293,0.3434644981280853
29,57.91316770163469,62.76065232283966,0.4939896784434925
30,20.531428416808723,25.10922220446063,0.7312864671011704
31,65.7700087552456,76.98564593301435,0.3795940920126417
32,73.21389130072903,77.72975908541568,0.33620305275112217
33,69.5585571687401,73.85282951746443,0.34606997945424256
34,65.13009562277249,71.87626880187335,0.3542347653731277
35,29.818456063212583,35.261380901468684,0.814565499898011
